[2025-06-24T17:04:38.685Z] Starting Udemy Advanced Course Finder fetch...
[2025-06-24T17:04:38.689Z] Fetching free South African courses...
[2025-06-24T17:05:19.676Z] Stored new course: Master of Science in Computer Science (21174)
[2025-06-24T17:05:20.189Z] Course 20864 already exists, skipping.
[2025-06-24T17:05:20.190Z] Course 20880 already exists, skipping.
[2025-06-24T17:05:20.191Z] Course 20877 already exists, skipping.
[2025-06-24T17:05:20.192Z] Course 20874 already exists, skipping.
[2025-06-24T17:05:20.194Z] Course 20871 already exists, skipping.
[2025-06-24T17:05:20.198Z] Course 20852 already exists, skipping.
[2025-06-24T17:05:20.199Z] Course 20849 already exists, skipping.
[2025-06-24T17:05:20.200Z] Course 20846 already exists, skipping.
[2025-06-24T17:05:20.203Z] Course 20862 already exists, skipping.
[2025-06-24T17:05:20.204Z] Course 20859 already exists, skipping.
[2025-06-24T17:05:20.206Z] Course 20856 already exists, skipping.
[2025-06-24T17:05:20.207Z] Course 20853 already exists, skipping.
[2025-06-24T17:05:20.208Z] Course 20850 already exists, skipping.
[2025-06-24T17:05:20.211Z] Course 20863 already exists, skipping.
[2025-06-24T17:05:20.213Z] Course 20847 already exists, skipping.
[2025-06-24T17:05:20.214Z] Course 20860 already exists, skipping.
[2025-06-24T17:05:20.215Z] Course 20857 already exists, skipping.
[2025-06-24T17:05:20.216Z] Course 20854 already exists, skipping.
[2025-06-24T17:05:20.217Z] Course 20851 already exists, skipping.
[2025-06-24T17:05:20.221Z] Course 20848 already exists, skipping.
[2025-06-24T17:05:20.222Z] Course 20845 already exists, skipping.
[2025-06-24T17:05:20.223Z] Course 20861 already exists, skipping.
[2025-06-24T17:05:20.224Z] Course 20858 already exists, skipping.
[2025-06-24T17:05:20.227Z] Course 20855 already exists, skipping.
[2025-06-24T17:05:20.229Z] Course 20836 already exists, skipping.
[2025-06-24T17:05:20.230Z] Course 20833 already exists, skipping.
[2025-06-24T17:05:20.231Z] Course 20830 already exists, skipping.
[2025-06-24T17:05:20.232Z] Course 20843 already exists, skipping.
[2025-06-24T17:05:20.234Z] Course 20827 already exists, skipping.
[2025-06-24T17:05:20.237Z] Course 20840 already exists, skipping.
[2025-06-24T17:05:20.239Z] Course 20837 already exists, skipping.
[2025-06-24T17:05:20.240Z] Course 20834 already exists, skipping.
[2025-06-24T17:05:20.241Z] Course 20831 already exists, skipping.
[2025-06-24T17:05:20.242Z] Course 20844 already exists, skipping.
[2025-06-24T17:05:20.246Z] Course 20828 already exists, skipping.
[2025-06-24T17:05:20.248Z] Course 20841 already exists, skipping.
[2025-06-24T17:05:20.249Z] Course 20838 already exists, skipping.
[2025-06-24T17:05:20.250Z] Course 20835 already exists, skipping.
[2025-06-24T17:05:20.253Z] Course 20832 already exists, skipping.
[2025-06-24T17:05:20.254Z] Course 20829 already exists, skipping.
[2025-06-24T17:05:20.255Z] Course 20826 already exists, skipping.
[2025-06-24T17:05:20.257Z] Course 20842 already exists, skipping.
[2025-06-24T17:05:20.258Z] Course 20839 already exists, skipping.
[2025-06-24T17:05:20.261Z] Course 20820 already exists, skipping.
[2025-06-24T17:05:20.263Z] Course 20817 already exists, skipping.
[2025-06-24T17:05:20.264Z] Course 20814 already exists, skipping.
[2025-06-24T17:05:20.265Z] Course 20811 already exists, skipping.
[2025-06-24T17:05:20.266Z] Course 20824 already exists, skipping.
[2025-06-24T17:05:20.267Z] Course 20808 already exists, skipping.
[2025-06-24T17:05:20.270Z] Course 20821 already exists, skipping.
[2025-06-24T17:05:20.272Z] Course 20818 already exists, skipping.
[2025-06-24T17:05:20.274Z] Course 20815 already exists, skipping.
[2025-06-24T17:05:20.275Z] Course 20812 already exists, skipping.
[2025-06-24T17:05:20.276Z] Course 20825 already exists, skipping.
[2025-06-24T17:05:20.278Z] Course 20809 already exists, skipping.
[2025-06-24T17:05:20.279Z] Course 20806 already exists, skipping.
[2025-06-24T17:05:20.280Z] Course 20822 already exists, skipping.
[2025-06-24T17:05:20.281Z] Course 20819 already exists, skipping.
[2025-06-24T17:05:20.282Z] Course 20816 already exists, skipping.
[2025-06-24T17:05:20.283Z] Course 20813 already exists, skipping.
[2025-06-24T17:05:20.288Z] Course 20810 already exists, skipping.
[2025-06-24T17:05:20.292Z] Course 20823 already exists, skipping.
[2025-06-24T17:05:20.294Z] Course 20807 already exists, skipping.
[2025-06-24T17:05:20.296Z] Course 20804 already exists, skipping.
[2025-06-24T17:05:20.298Z] Course 20788 already exists, skipping.
[2025-06-24T17:05:20.299Z] Course 20785 already exists, skipping.
[2025-06-24T17:05:20.300Z] Course 20801 already exists, skipping.
[2025-06-24T17:05:20.304Z] Course 20798 already exists, skipping.
[2025-06-24T17:05:20.305Z] Course 20795 already exists, skipping.
[2025-06-24T17:05:20.306Z] Course 20792 already exists, skipping.
[2025-06-24T17:05:20.308Z] Course 20805 already exists, skipping.
[2025-06-24T17:05:20.309Z] Course 20789 already exists, skipping.
[2025-06-24T17:05:20.310Z] Course 20786 already exists, skipping.
[2025-06-24T17:05:20.312Z] Course 20802 already exists, skipping.
[2025-06-24T17:05:20.313Z] Course 20783 already exists, skipping.
[2025-06-24T17:05:20.314Z] Course 20799 already exists, skipping.
[2025-06-24T17:05:20.315Z] Course 20796 already exists, skipping.
[2025-06-24T17:05:20.319Z] Course 20793 already exists, skipping.
[2025-06-24T17:05:20.323Z] Course 20790 already exists, skipping.
[2025-06-24T17:05:20.324Z] Course 20803 already exists, skipping.
[2025-06-24T17:05:20.325Z] Course 20787 already exists, skipping.
[2025-06-24T17:05:20.327Z] Course 20784 already exists, skipping.
[2025-06-24T17:05:20.329Z] Course 20800 already exists, skipping.
[2025-06-24T17:05:20.330Z] Course 20797 already exists, skipping.
[2025-06-24T17:05:20.331Z] Course 20794 already exists, skipping.
[2025-06-24T17:05:20.333Z] Course 20791 already exists, skipping.
[2025-06-24T17:05:20.335Z] Course 20772 already exists, skipping.
[2025-06-24T17:05:20.337Z] Course 20769 already exists, skipping.
[2025-06-24T17:05:20.338Z] Course 20766 already exists, skipping.
[2025-06-24T17:05:20.340Z] Course 20782 already exists, skipping.
[2025-06-24T17:05:20.341Z] Course 20763 already exists, skipping.
[2025-06-24T17:05:20.343Z] Course 20779 already exists, skipping.
[2025-06-24T17:05:20.345Z] Course 20776 already exists, skipping.
[2025-06-24T17:05:20.346Z] Course 20760 already exists, skipping.
[2025-06-24T17:05:20.347Z] Course 20773 already exists, skipping.
[2025-06-24T17:05:20.349Z] Course 20770 already exists, skipping.
[2025-06-24T17:05:20.350Z] Course 20767 already exists, skipping.
[2025-06-24T17:05:20.353Z] Course 20764 already exists, skipping.
[2025-06-24T17:05:20.355Z] Course 20780 already exists, skipping.
[2025-06-24T17:05:20.356Z] Course 20777 already exists, skipping.
[2025-06-24T17:05:20.357Z] Course 20761 already exists, skipping.
[2025-06-24T17:05:20.359Z] Course 20774 already exists, skipping.
[2025-06-24T17:05:20.360Z] Course 20771 already exists, skipping.
[2025-06-24T17:05:20.362Z] Course 20768 already exists, skipping.
[2025-06-24T17:05:20.363Z] Course 20765 already exists, skipping.
[2025-06-24T17:05:20.364Z] Course 20781 already exists, skipping.
