[2025-07-07T17:18:06.410Z] Starting Udemy Advanced Course Finder fetch...
[2025-07-07T17:18:06.416Z] Fetching free South African courses...
[2025-07-07T17:18:34.300Z] Course 20862 already exists, skipping.
[2025-07-07T17:18:34.302Z] Course 20859 already exists, skipping.
[2025-07-07T17:18:34.306Z] Course 20856 already exists, skipping.
[2025-07-07T17:18:34.309Z] Course 20853 already exists, skipping.
[2025-07-07T17:18:34.311Z] Course 20850 already exists, skipping.
[2025-07-07T17:18:34.312Z] Course 20863 already exists, skipping.
[2025-07-07T17:18:34.313Z] Course 20847 already exists, skipping.
[2025-07-07T17:18:34.315Z] Course 20860 already exists, skipping.
[2025-07-07T17:18:34.319Z] Course 20857 already exists, skipping.
[2025-07-07T17:18:34.324Z] Course 20854 already exists, skipping.
[2025-07-07T17:18:34.326Z] Course 20851 already exists, skipping.
[2025-07-07T17:18:34.328Z] Course 20848 already exists, skipping.
[2025-07-07T17:18:34.329Z] Course 20845 already exists, skipping.
[2025-07-07T17:18:34.331Z] Course 20861 already exists, skipping.
[2025-07-07T17:18:34.334Z] Course 20858 already exists, skipping.
[2025-07-07T17:18:34.340Z] Course 20855 already exists, skipping.
[2025-07-07T17:18:34.342Z] Course 20836 already exists, skipping.
[2025-07-07T17:18:34.345Z] Course 20833 already exists, skipping.
[2025-07-07T17:18:34.346Z] Course 20830 already exists, skipping.
[2025-07-07T17:18:34.347Z] Course 20843 already exists, skipping.
[2025-07-07T17:18:34.349Z] Course 20827 already exists, skipping.
[2025-07-07T17:18:34.352Z] Course 20840 already exists, skipping.
[2025-07-07T17:18:34.353Z] Course 20837 already exists, skipping.
[2025-07-07T17:18:34.358Z] Course 20834 already exists, skipping.
[2025-07-07T17:18:34.360Z] Course 20831 already exists, skipping.
[2025-07-07T17:18:34.362Z] Course 20844 already exists, skipping.
[2025-07-07T17:18:34.364Z] Course 20828 already exists, skipping.
[2025-07-07T17:18:34.366Z] Course 20841 already exists, skipping.
[2025-07-07T17:18:34.367Z] Course 20838 already exists, skipping.
[2025-07-07T17:18:34.369Z] Course 20835 already exists, skipping.
[2025-07-07T17:18:34.374Z] Course 20832 already exists, skipping.
[2025-07-07T17:18:34.375Z] Course 20829 already exists, skipping.
[2025-07-07T17:18:34.377Z] Course 20826 already exists, skipping.
[2025-07-07T17:18:34.379Z] Course 20842 already exists, skipping.
[2025-07-07T17:18:34.383Z] Course 20839 already exists, skipping.
[2025-07-07T17:18:34.385Z] Course 20820 already exists, skipping.
[2025-07-07T17:18:34.389Z] Course 20817 already exists, skipping.
[2025-07-07T17:18:34.392Z] Course 20814 already exists, skipping.
[2025-07-07T17:18:34.394Z] Course 20811 already exists, skipping.
[2025-07-07T17:18:34.395Z] Course 20824 already exists, skipping.
[2025-07-07T17:18:34.397Z] Course 20808 already exists, skipping.
[2025-07-07T17:18:34.400Z] Course 20821 already exists, skipping.
[2025-07-07T17:18:34.404Z] Course 20818 already exists, skipping.
[2025-07-07T17:18:34.408Z] Course 20815 already exists, skipping.
[2025-07-07T17:18:34.410Z] Course 20812 already exists, skipping.
[2025-07-07T17:18:34.411Z] Course 20825 already exists, skipping.
[2025-07-07T17:18:34.413Z] Course 20809 already exists, skipping.
[2025-07-07T17:18:34.414Z] Course 20806 already exists, skipping.
[2025-07-07T17:18:34.416Z] Course 20822 already exists, skipping.
[2025-07-07T17:18:34.418Z] Course 20819 already exists, skipping.
[2025-07-07T17:18:34.420Z] Course 20816 already exists, skipping.
[2025-07-07T17:18:34.424Z] Course 20813 already exists, skipping.
[2025-07-07T17:18:34.426Z] Course 20810 already exists, skipping.
[2025-07-07T17:18:34.428Z] Course 20823 already exists, skipping.
[2025-07-07T17:18:34.432Z] Course 20807 already exists, skipping.
[2025-07-07T17:18:34.436Z] Course 20804 already exists, skipping.
[2025-07-07T17:18:34.439Z] Course 20788 already exists, skipping.
[2025-07-07T17:18:34.442Z] Course 20785 already exists, skipping.
[2025-07-07T17:18:34.444Z] Course 20801 already exists, skipping.
[2025-07-07T17:18:34.446Z] Course 20798 already exists, skipping.
[2025-07-07T17:18:34.447Z] Course 20795 already exists, skipping.
[2025-07-07T17:18:34.448Z] Course 20792 already exists, skipping.
[2025-07-07T17:18:34.450Z] Course 20805 already exists, skipping.
[2025-07-07T17:18:34.452Z] Course 20789 already exists, skipping.
[2025-07-07T17:18:34.454Z] Course 20786 already exists, skipping.
[2025-07-07T17:18:34.458Z] Course 20802 already exists, skipping.
[2025-07-07T17:18:34.460Z] Course 20783 already exists, skipping.
[2025-07-07T17:18:34.462Z] Course 20799 already exists, skipping.
[2025-07-07T17:18:34.464Z] Course 20796 already exists, skipping.
[2025-07-07T17:18:34.466Z] Course 20793 already exists, skipping.
[2025-07-07T17:18:34.475Z] Course 20790 already exists, skipping.
[2025-07-07T17:18:34.478Z] Course 20803 already exists, skipping.
[2025-07-07T17:18:34.479Z] Course 20787 already exists, skipping.
[2025-07-07T17:18:34.480Z] Course 20784 already exists, skipping.
[2025-07-07T17:18:34.482Z] Course 20800 already exists, skipping.
[2025-07-07T17:18:34.485Z] Course 20797 already exists, skipping.
[2025-07-07T17:18:34.488Z] Course 20794 already exists, skipping.
[2025-07-07T17:18:34.491Z] Course 20791 already exists, skipping.
[2025-07-07T17:18:34.493Z] Course 20772 already exists, skipping.
[2025-07-07T17:18:34.494Z] Course 20769 already exists, skipping.
[2025-07-07T17:18:34.496Z] Course 20766 already exists, skipping.
[2025-07-07T17:18:34.497Z] Course 20782 already exists, skipping.
[2025-07-07T17:18:34.498Z] Course 20763 already exists, skipping.
[2025-07-07T17:18:34.503Z] Course 20779 already exists, skipping.
[2025-07-07T17:18:34.507Z] Course 20776 already exists, skipping.
[2025-07-07T17:18:34.509Z] Course 20760 already exists, skipping.
[2025-07-07T17:18:34.511Z] Course 20773 already exists, skipping.
[2025-07-07T17:18:34.513Z] Course 20770 already exists, skipping.
[2025-07-07T17:18:34.514Z] Course 20767 already exists, skipping.
[2025-07-07T17:18:34.516Z] Course 20764 already exists, skipping.
[2025-07-07T17:18:34.519Z] Course 20780 already exists, skipping.
[2025-07-07T17:18:34.521Z] Course 20777 already exists, skipping.
[2025-07-07T17:18:34.527Z] Course 20761 already exists, skipping.
[2025-07-07T17:18:34.529Z] Course 20774 already exists, skipping.
[2025-07-07T17:18:34.531Z] Course 20771 already exists, skipping.
[2025-07-07T17:18:34.534Z] Course 20768 already exists, skipping.
[2025-07-07T17:18:34.537Z] Course 20765 already exists, skipping.
[2025-07-07T17:18:34.540Z] Course 20781 already exists, skipping.
[2025-07-07T17:18:34.543Z] Course 20762 already exists, skipping.
[2025-07-07T17:18:34.545Z] Course 20778 already exists, skipping.
[2025-07-07T17:18:34.547Z] Course 20775 already exists, skipping.
